,i,j,w
0,1,0,276.729621499777
1,2,0,323.330646216869
2,2,1,298.68955206871
3,3,0,178.96918207407
4,3,1,26.4716787934303
5,3,2,283.579709589481
6,4,0,64.271474391222
7,4,1,236.891367256641
8,4,2,359.288786351681
9,4,3,48.4457659125328
10,5,0,3.51858204603195
11,5,1,3.49755477905273
12,5,2,4.43872278928757
13,5,3,67.5234164595604
14,5,4,1.64916145801544
15,6,0,5.58592009544373
16,6,2,3.6682043671608
17,6,3,3.01927012205124
18,6,4,6.40098661184311
19,6,5,32.9789292216301
20,7,0,117.956414610147
21,7,2,3.15938144922256
22,7,3,4.83556437492371
23,7,5,2.06710398197174
24,7,6,373.629254728556
25,8,0,41.0310606956482
26,8,5,0.570865094661713
27,8,6,24.5853076577187
28,8,7,474.275936663151
29,9,0,4.2959617972374
30,9,1,59.9097636938095
31,9,2,15.8935983181
32,9,4,232.14274969697
33,10,0,1.65466177463531
34,10,1,35.8571904599667
35,10,2,28.7000696063042
36,10,3,1.67328572273254
37,10,4,244.636069864035
38,10,6,4.16284155845642
39,10,7,1.05827060341835
40,10,9,821.171735078096
41,11,1,1.42950320243835
42,11,2,1.15356159210205
43,11,4,11.5575283765793
44,11,9,366.967243462801
45,11,10,171.374088615179
46,12,1,2.02807855606079
47,12,4,13.0611290335655
48,12,9,310.244719058275
49,12,10,162.112663060427
50,12,11,600.454471349716
51,13,1,0.683928221464157
52,13,4,1.26009464263916
53,13,5,1.69401502609253
54,13,6,3.49191391468048
55,13,7,1.76641410589218
56,13,9,18.0689460635185
57,13,10,143.132456123829
58,13,11,24.673548579216
59,13,12,27.0718779861927
60,14,0,1.48802056908607
61,14,1,0.2625472843647
62,14,4,7.78981572389603
63,14,6,0.412106782197952
64,14,7,0.352283775806427
65,14,9,4.18717277050018
66,14,10,311.98091429472
67,14,11,59.7247356772423
68,14,12,317.732030898333
69,14,13,122.500232309103
70,15,1,0.318640321493149
71,15,3,1.08306062221527
72,15,4,12.4687125086784
73,15,5,0.438047885894775
74,15,6,6.96353358030319
75,15,9,2.01609748601913
76,15,10,75.3032193779945
77,15,11,13.6352068483829
78,15,12,16.6383967399597
79,15,13,2253.58115062118
80,15,14,806.965127468109
81,16,3,2.03703063726425
82,16,4,23.2897657454014
83,16,5,0.494261175394058
84,16,6,14.9115113914013
85,16,7,5.29876708984375
86,16,8,1.48626691102982
87,16,9,21.9846217632294
88,16,10,314.600756675005
89,16,11,34.2701267302036
90,16,12,23.0617526471615
91,16,13,572.730890482664
92,16,14,159.017853945494
93,16,15,1275.0202152133
94,17,0,1.42090845108032
95,17,1,1.92985486984253
96,17,2,12.4296400547028
97,17,3,60.7846521437168
98,17,4,57.8581782579422
99,17,5,88.9596510231495
100,17,6,300.769521027803
101,17,7,23.9351900219917
102,17,8,2.80509662628174
103,17,9,5.49056524038315
104,17,10,70.2690978348255
105,17,11,2.80378818511963
106,17,12,2.65896475315094
107,17,13,96.7882700264454
108,17,14,18.7452567219734
109,17,15,191.157732188702
110,17,16,605.948447853327
111,18,0,40.2169647216797
112,18,1,12.2355129122734
113,18,2,92.3371358811855
114,18,3,314.320524871349
115,18,4,194.314515858889
116,18,5,80.8310005664825
117,18,6,36.7704772353172
118,18,7,2.20321130752563
119,18,9,13.1108504831791
120,18,10,60.2062228918076
121,18,11,12.9811126291752
122,18,12,13.7042046487331
123,18,13,23.5702244341373
124,18,14,43.8848438858986
125,18,15,117.309733480215
126,18,16,254.699758380651
127,18,17,196.235399067402
128,19,0,1.21608471870422
129,19,2,2.89339470863342
130,19,3,3.92769360542297
131,19,4,18.5105649530888
132,19,5,10.6175904870033
133,19,6,285.099010169506
134,19,7,54.9784385859966
135,19,8,4.08780580759048
136,19,9,2.05197674036026
137,19,10,13.2431469261646
138,19,12,2.17716121673584
139,19,13,5.44248175621033
140,19,14,2.92048168182373
141,19,15,21.5874479115009
142,19,16,72.1207227706909
143,19,17,161.313069790602
144,19,18,52.9378647208214
145,20,4,13.9139765501022
146,20,5,2.09884792566299
147,20,6,78.2422893941402
148,20,7,12.5402840971947
149,20,8,4.63089817762375
150,20,9,5.33054900169373
151,20,10,72.0518637001514
152,20,11,5.87326073646545
153,20,12,7.50662195682526
154,20,13,20.0410010814667
155,20,14,21.6363759338856
156,20,15,74.0905560851097
157,20,16,129.090626418591
158,20,17,66.8071306347847
159,20,18,57.3566918671131
160,20,19,615.697464287281
161,21,2,0.591954112052917
162,21,3,1.27222847938538
163,21,4,1.90394687652588
164,21,6,3.67767345905304
165,21,7,4.46821328997612
166,21,9,7.17784297466278
167,21,10,57.3514379262924
168,21,11,15.9978404939175
169,21,12,31.5956649780273
170,21,13,134.832191824913
171,21,14,46.9140693545341
172,21,15,173.569636076689
173,21,16,15.2851854860783
174,21,17,105.024935901165
175,21,18,8.15686568617821
176,21,19,72.3977735936642
177,21,20,944.618668824434
178,22,1,0.400070697069168
179,22,4,3.84516310691833
180,22,6,8.09770107269287
181,22,7,0.501238286495209
182,22,9,15.1315116286278
183,22,10,56.7472084462643
184,22,11,54.8378582894802
185,22,12,68.8137949109077
186,22,13,524.819682210684
187,22,14,104.894849479198
188,22,15,256.159493237734
189,22,16,49.1652865707874
190,22,17,103.351940602064
191,22,18,10.3149280548096
192,22,19,9.33048966526985
193,22,20,75.8001586198807
194,22,21,304.201256334782
195,23,0,0.637847185134888
196,23,1,0.696832060813904
197,23,4,1.95273232460022
198,23,6,1.19969856739044
199,23,9,10.2126109600067
200,23,10,7.71265169978142
201,23,11,49.9639889597893
202,23,12,158.404420226812
203,23,13,83.9561345875263
204,23,14,115.182865858078
205,23,15,57.8702601492405
206,23,16,12.7194550931454
207,23,17,26.142070800066
208,23,18,4.13985481858253
209,23,19,9.00747853517532
210,23,20,185.175486385822
211,23,21,694.831612020731
212,23,22,601.122303932905
213,24,2,1.43629693984985
214,24,3,0.993266820907593
215,24,9,4.12186205387115
216,24,10,6.0474554002285
217,24,11,14.4020228981972
218,24,12,187.378813177347
219,24,13,48.4386590719223
220,24,14,54.0884906053543
221,24,15,17.1511706411839
222,24,16,3.71153935790062
223,24,17,7.89154678583145
224,24,18,3.28107878565788
225,24,19,7.84085124731064
226,24,20,26.2159972190857
227,24,21,106.04686024785
228,24,22,74.972364872694
229,24,23,1531.80868402123
230,25,1,2.17270839214325
231,25,2,1.2455335855484
232,25,3,0.622853398323059
233,25,4,1.29392910003662
234,25,9,3.04036790132523
235,25,10,6.55741369724274
236,25,11,4.46562641859055
237,25,12,44.1511877179146
238,25,13,6.57260936498642
239,25,14,13.712426841259
240,25,15,3.37065407633781
241,25,17,1.45366907119751
242,25,18,0.638971269130707
243,25,19,1.9584247469902
244,25,20,2.44489726424217
245,25,21,14.2487641572952
246,25,22,12.8201910853386
247,25,23,70.7563976347446
248,25,24,352.009892165661
249,26,3,1.0590146780014
250,26,6,0.810220241546631
251,26,8,0.978566765785217
252,26,9,7.46014457941055
253,26,10,9.75884801149368
254,26,11,51.4393658339977
255,26,12,232.429165840149
256,26,13,193.624443739653
257,26,14,98.3740810453892
258,26,15,44.1156062781811
259,26,16,9.8051937520504
260,26,17,20.2463030815125
261,26,18,4.43267035484314
262,26,19,2.31832504272461
263,26,20,32.852851241827
264,26,21,107.342298716307
265,26,22,294.31015381217
266,26,23,666.474050045013
267,26,24,410.260498315096
268,26,25,664.257756114006
269,27,11,5.97016048431396
270,27,12,60.7616175413132
271,27,13,21.0836484730244
272,27,14,115.447094351053
273,27,15,12.4221116602421
274,27,16,5.76023736596107
275,27,17,0.366176128387451
276,27,18,0.353545159101486
277,27,21,1.53282818198204
278,27,22,6.66074898838997
279,27,23,3.28738299012184
280,27,24,32.0085313022137
281,27,25,114.083398222923
282,27,26,234.148306310177
283,28,1,0.503375947475433
284,28,10,1.00992748141289
285,28,11,21.4261493980885
286,28,12,191.711044728756
287,28,13,36.171373128891
288,28,14,309.169900923967
289,28,15,44.8578369915485
290,28,16,16.2615197300911
291,28,17,4.39949411153793
292,28,18,1.27622404694557
293,28,22,14.6382056176662
294,28,23,23.5573560893536
295,28,24,37.6923516094685
296,28,25,9.73955965042114
297,28,26,33.9265668690205
298,28,27,430.336457103491
299,29,1,1.48837414383888
300,29,9,3.01098102331161
301,29,10,5.14629954099655
302,29,11,11.6023256778717
303,29,12,92.8762737214565
304,29,13,464.978527784348
305,29,14,259.822459608316
306,29,15,263.238188892603
307,29,16,37.6925468742847
308,29,17,10.0223931968212
309,29,18,3.16503128409386
310,29,19,2.12012767791748
311,29,20,2.83028745651245
312,29,21,4.91208586096764
313,29,22,295.981889903545
314,29,23,274.133864432573
315,29,24,354.701685428619
316,29,25,79.5339808166027
317,29,26,1774.5779916048
318,29,27,417.544353187084
319,29,28,221.558940112591
320,30,1,16.8955338895321
321,30,4,7.76231262087822
322,30,9,99.4509747922421
323,30,10,73.7508447766304
324,30,11,46.6977422237396
325,30,12,226.37221288681
326,30,13,12.9258016049862
327,30,14,14.0345672667027
328,30,15,9.1061227619648
329,30,16,7.17632678151131
330,30,17,4.1994780600071
331,30,18,4.9890661239624
332,30,19,0.351351350545883
333,30,20,6.86462670564651
334,30,21,10.9101596176624
335,30,22,21.0968614220619
336,30,23,30.5241208970547
337,30,24,155.345668941736
338,30,25,160.040357232094
339,30,26,49.4473497569561
340,30,27,4.18470793962479
341,30,28,6.43047648668289
342,30,29,37.3254888355732
343,31,1,0.829717516899109
344,31,2,0.552132427692413
345,31,4,2.0067446231842
346,31,9,15.0799944996834
347,31,10,24.7161808311939
348,31,11,131.093438953161
349,31,12,1131.99517023563
350,31,13,9.02977153658867
351,31,14,231.728997081518
352,31,15,19.3096534907818
353,31,16,5.57927113771439
354,31,17,1.8017486333847
355,31,18,5.24803560972214
356,31,19,1.03125739097595
357,31,21,3.81101095676422
358,31,22,13.0333355665207
359,31,23,52.2776569724083
360,31,24,203.795166045427
361,31,25,273.789664894342
362,31,26,117.807030916214
363,31,27,300.589621633291
364,31,28,516.912196308374
365,31,29,148.229636490345
366,31,30,527.093114256859
367,32,1,0.281660437583923
368,32,2,0.345112562179565
369,32,3,0.614238440990448
370,32,4,2.53994590044022
371,32,9,2.83751136064529
372,32,10,11.6791025996208
373,32,11,54.3931514322758
374,32,12,329.568613022566
375,32,13,2.22329652309418
376,32,14,134.954881101847
377,32,15,15.3635716736317
378,32,16,2.74781328439713
379,32,17,1.72857388854027
380,32,18,1.95062011480331
381,32,20,0.598639488220215
382,32,21,0.965469598770142
383,32,22,13.1044261157513
384,32,23,14.2840749919415
385,32,24,125.071853101254
386,32,25,345.292609512806
387,32,26,100.378275454044
388,32,27,230.163961678743
389,32,28,168.028341948986
390,32,29,114.549493938684
391,32,30,126.997171640396
392,32,31,822.316664963961
393,33,1,0.642974674701691
394,33,2,0.411246746778488
395,33,9,2.60397216677666
396,33,11,21.9508097171783
397,33,12,137.609247624874
398,33,13,9.25964096188545
399,33,14,154.251309335232
400,33,15,35.2147913277149
401,33,16,6.26700046658516
402,33,17,0.357497870922089
403,33,18,0.748538583517075
404,33,21,1.62667810916901
405,33,22,3.19778507947922
406,33,23,7.63624733686447
407,33,24,49.1739699840546
408,33,25,423.613144278526
409,33,26,207.239317446947
410,33,27,662.651175498962
411,33,28,269.402258366346
412,33,29,293.019958436489
413,33,30,33.1645936071873
414,33,31,336.963816046715
415,33,32,1007.82435417175
416,34,1,2.35451623797417
417,34,4,0.801751255989075
418,34,9,1.99442800879478
419,34,10,2.17923620343208
420,34,11,0.730075657367706
421,34,12,11.7149814069271
422,34,13,9.30336898565292
423,34,14,20.9849930405617
424,34,15,5.22977116703987
425,34,16,0.913658380508423
426,34,17,1.29314863681793
427,34,21,2.26673197746277
428,34,22,1.58805674314499
429,34,23,2.56249237060547
430,34,24,15.3333139717579
431,34,25,347.138299047947
432,34,26,257.505503207445
433,34,27,364.572431266308
434,34,28,17.9295476675034
435,34,29,166.440681785345
436,34,30,10.099675744772
437,34,31,14.711488455534
438,34,32,114.648876875639
439,34,33,1429.07680416107
440,35,1,1.1722249686718
441,35,4,1.80627125501633
442,35,9,1.01073321700096
443,35,10,2.84343886375427
444,35,11,1.08229756355286
445,35,12,7.11788469552994
446,35,13,5.39110571146011
447,35,14,10.3778731822968
448,35,15,4.57896533608437
449,35,16,0.346187949180603
450,35,18,0.675701975822449
451,35,20,0.304073721170425
452,35,21,2.93868297338486
453,35,22,2.78891277313232
454,35,23,6.79702004790306
455,35,24,71.5220156908035
456,35,25,1134.69727340341
457,35,26,448.323253184557
458,35,27,223.548107922077
459,35,28,2.36798205971718
