,i,j,w
0,1,0,694.496796399355
1,2,0,75.0707646012306
2,2,1,1.64916145801544
3,3,0,171.761807173491
4,3,1,6.40098661184311
5,3,2,35.7294345498085
6,4,0,143.993242830038
7,4,1,463.682218402624
8,4,3,5.22111216187477
9,5,0,4.6111433506012
10,5,1,24.1503936946392
11,5,4,1002.71125745773
12,6,0,528.632320851088
13,6,1,281.619183182716
14,6,2,166.998791992664
15,6,3,417.248241841793
16,6,4,1042.42991328239
17,6,5,536.990926504135
18,7,0,17.2397684752941
19,7,1,37.9487589895725
20,7,2,11.2179421186447
21,7,3,456.664035826921
22,7,4,282.91868391633
23,7,5,934.285645127296
24,7,6,3022.30165585876
25,8,0,1.99175009131432
26,8,4,9.63444858789444
27,8,5,386.497970610857
28,8,6,1655.56124359369
29,8,7,3339.14043357968
30,9,0,22.1667407751083
31,9,1,15.4511175453663
32,9,4,230.728109836578
33,9,5,2080.03702616692
34,9,6,736.781626075506
35,9,7,4679.92458769679
36,9,8,3615.39479190111
37,10,0,1.24020549654961
38,10,4,5.12360507249832
39,10,5,2.10949510335922
40,10,6,13.9723141789436
41,10,7,837.311112642288
42,10,8,27.1542184352875
43,10,9,1173.26417839527
44,11,0,3.8010288476944
45,11,1,0.94432657957077
46,11,2,4.9149763584137
47,11,3,531.593284457922
48,11,4,2.53498184680939
49,11,6,28.2623901665211
50,11,7,478.807664453983
51,11,10,10.2974260151386
52,12,1,0.517489612102509
53,12,3,5.36216285824776
54,12,4,0.714488625526428
55,12,5,18.5935207903385
56,12,6,25.1796260178089
57,12,7,1134.71422541142
58,12,8,2.66137167811394
59,12,9,14.4215433001518
60,12,10,20.1783589720726
61,12,11,450.229151070118
62,13,4,0.970339477062225
63,13,5,2.27663058042526
64,13,6,3.8742062151432
65,13,7,368.36326315999
66,13,8,19.04918384552
67,13,9,98.7971778512001
68,13,10,1489.15196767449
69,13,11,108.987473845482
70,13,12,303.818211942911
71,14,0,5.67887611687183
72,14,1,0.473431080579758
73,14,4,3.87377613782883
74,14,5,4.8470610678196
75,14,6,7.54218396544456
76,14,7,282.236530393362
77,14,8,0.95001220703125
78,14,9,12.4078879356384
79,14,10,116.48529574275
80,14,11,126.199201971292
81,14,12,242.091211229563
82,14,13,357.143225759268
83,15,0,19.9278942346573
84,15,1,9.98972910642624
85,15,4,89.7666637301445
86,15,5,48.3243819773197
87,15,6,41.0951869487762
88,15,7,178.502723634243
89,15,8,59.4051846563816
90,15,9,4662.77678975463
91,15,10,913.622344255447
92,15,13,32.2250638604164
93,15,14,4.0626408457756
94,16,0,15.0153478682041
95,16,1,15.3322053849697
96,16,4,95.6112712323666
97,16,5,70.6493868231773
98,16,6,113.414497733116
99,16,7,231.185901612043
100,16,8,31.2333186268806
101,16,9,367.478221476078
102,16,10,50.7399341464043
103,16,12,2.72645509243011
104,16,13,0.38101252913475
105,16,14,14.6394056379795
106,16,15,1434.53187027574
107,17,0,14.8936751633883
108,17,1,4.20758718252182
109,17,2,1.45829355716705
110,17,3,0.784193247556686
111,17,4,6.68703746795654
112,17,5,21.6709680855274
113,17,6,38.5673707574606
114,17,7,327.663946062326
115,17,8,174.20132753253
116,17,9,1120.67002773285
117,17,10,463.770117998123
118,17,11,1.93805718421936
119,17,12,4.031808167696
120,17,13,26.1387069821358
121,17,14,322.833758920431
122,17,15,1963.44667491317
123,17,16,1068.11784005165
124,18,0,45.3117362558842
125,18,1,5.57277563214302
126,18,3,0.266074687242508
127,18,4,17.9691041558981
128,18,5,117.101216420531
129,18,6,236.953382104635
130,18,7,350.635132789612
131,18,8,341.012013524771
132,18,9,578.446699231863
133,18,10,14.7807405591011
134,18,12,5.63812470436096
135,18,13,3.8725962638855
136,18,14,243.168326944113
137,18,15,605.808768182993
138,18,16,1312.11009806395
139,18,17,6226.6471748203
140,19,0,5.06090953946114
141,19,1,1.7202724814415
142,19,3,1.23725140094757
143,19,4,2.14218091964722
144,19,5,15.0362145900726
145,19,6,13.6494566053152
146,19,7,764.218481391668
147,19,8,17.3469597101212
148,19,9,224.517487481236
149,19,10,1571.95927834511
150,19,11,58.8458153605461
151,19,12,153.499570578337
152,19,13,705.327807664871
153,19,14,2587.94010990858
154,19,15,140.676356732845
155,19,16,42.6580529212952
156,19,17,2770.68759217858
157,19,18,573.728730171919
158,20,0,4.02426958084106
159,20,1,0.913345754146576
160,20,6,1.74672544002533
161,20,7,17.9723046422005
162,20,8,1.99481070041656
163,20,9,26.230151116848
164,20,10,3.30215120315552
165,20,12,2.45231688022614
166,20,13,2.47288134694099
167,20,14,89.2754393815994
168,20,15,1.25471639633179
169,20,16,0.497415691614151
170,20,17,653.551932662725
171,20,18,123.06494987011
172,20,19,1416.46710282564
173,21,0,17.5760373026133
174,21,1,1.8003086745739
175,21,3,0.94689217209816
176,21,6,3.14761191606522
177,21,7,6.41737323999405
178,21,9,1.85320144891739
179,21,10,2.96918842196465
180,21,12,4.11858490109444
181,21,13,1.84024524688721
182,21,14,36.780851662159
183,21,15,0.830979019403458
184,21,16,2.34194979071617
185,21,17,519.327673822641
186,21,18,31.0484966337681
187,21,19,646.972028851509
188,21,20,1997.4490351975
189,22,0,31.3807789683342
190,22,1,5.69831296801567
191,22,3,0.350461393594742
192,22,4,2.02700683474541
193,22,5,1.40662521123886
194,22,6,9.83607685565948
195,22,7,12.1232463419437
196,22,8,12.1656240820885
197,22,9,4.76031893491745
198,22,11,1.09461426734924
199,22,14,34.2979177832603
200,22,15,10.9648342132568
201,22,16,5.02043855190277
202,22,17,1093.95559743047
203,22,18,839.200618326664
204,22,19,172.916352570057
205,22,20,421.429205089808
206,22,21,1308.33288577199
207,23,0,36.4030930995941
208,23,1,1.99642831087112
209,23,3,2.87945431470871
210,23,4,1.82702401280403
211,23,6,3.05271592736244
212,23,7,4.96059548854828
213,23,8,2.82598659396172
214,23,9,2.28056633472443
215,23,12,1.46334362030029
216,23,14,272.50312641263
217,23,15,4.33469188213348
218,23,16,2.88611209392548
219,23,17,396.908944398165
220,23,18,123.38788099587
221,23,19,671.129798144102
222,23,20,289.155367642641
223,23,21,2232.2546775341
224,23,22,383.19575843215
225,24,0,50.7463246583939
226,24,1,1.61550512909889
227,24,3,1.43001282215118
228,24,4,1.15865612030029
229,24,6,5.40425997972488
230,24,7,7.99517351388931
231,24,8,11.9819968938828
232,24,9,10.3075377047062
233,24,14,33.2387591600418
234,24,15,16.5379753410816
235,24,16,6.19533401727676
236,24,17,330.510796904564
237,24,18,520.999287083745
238,24,19,74.3793529272079
239,24,20,59.2323423027992
240,24,21,242.71726885438
241,24,22,3626.90634056926
242,24,23,2272.71410632133
243,25,0,1.91270777583122
244,25,1,0.670527994632721
245,25,7,12.9458994567394
246,25,10,3.56107810139656
247,25,11,4.8817318379879
248,25,12,11.8753518760204
249,25,13,7.56456333398819
250,25,14,263.726799786091
251,25,15,3.61478960514069
252,25,17,25.7432044446468
253,25,18,24.9243586063385
254,25,19,102.261913925409
255,25,20,18.2802145183086
256,25,21,31.4606321752071
257,25,22,30.0245579481125
